PM2_5_ISPU,PM10_ISPU,CO_ISPU,NO2_ISPU,O3_ISPU,Kualitas_Udara
10,68,65,30,71,Sedang
274,72,101,93,68,Sangat_Tidak_Sehat
389,499,85,391,484,Berbahaya
2,27,43,14,40,Baik
48,57,38,79,86,Sedang
13,79,24,104,116,Tidak_Sehat
146,48,5,122,137,Tidak_Sehat
15,17,58,58,0,Sedang
177,183,65,141,52,Tidak_Sehat
0,81,3,70,25,Sedang
69,60,1,49,30,Sedang
17,49,13,46,28,Baik
72,260,230,32,290,Sangat_Tidak_Sehat
183,144,37,24,222,Sangat_Tidak_Sehat
15,49,31,21,28,Baik
28,10,32,5,46,Baik
6,62,45,62,65,Sedang
205,18,70,38,41,Sangat_Tidak_Sehat
88,92,138,59,154,Tidak_Sehat
93,101,5,44,116,Tidak_Sehat
283,350,70,322,398,Berbahaya
57,38,146,34,51,Tidak_Sehat
58,53,401,256,419,Berbahaya
133,150,77,77,154,Tidak_Sehat
123,223,129,194,86,Sangat_Tidak_Sehat
63,35,61,41,71,Sedang
6,89,12,79,237,Sangat_Tidak_Sehat
18,51,25,87,25,Sedang
63,161,128,105,64,Tidak_Sehat
33,60,9,29,21,Sedang
343,189,303,249,143,Berbahaya
23,14,29,41,50,Baik
4,381,397,255,333,Berbahaya
12,9,65,95,71,Sedang
22,36,31,32,0,Baik
218,12,154,189,73,Sangat_Tidak_Sehat
439,72,90,449,125,Berbahaya
2,36,70,39,55,Sedang
50,182,33,96,48,Tidak_Sehat
70,31,3,91,35,Sedang
164,171,136,57,200,Tidak_Sehat
14,27,59,59,34,Sedang
110,107,110,183,49,Tidak_Sehat
188,153,222,159,8,Sangat_Tidak_Sehat
211,56,65,225,111,Sangat_Tidak_Sehat
54,26,322,487,1,Berbahaya
17,1,0,46,4,Baik
297,73,113,313,53,Berbahaya
13,34,43,40,6,Baik
81,15,3,87,28,Sedang
81,4,19,86,100,Sedang
89,55,27,74,38,Sedang
216,209,5,239,52,Sangat_Tidak_Sehat
289,270,236,208,277,Sangat_Tidak_Sehat
92,52,36,107,96,Tidak_Sehat
89,39,41,247,34,Sangat_Tidak_Sehat
189,105,319,470,264,Berbahaya
153,118,136,139,118,Tidak_Sehat
30,3,43,22,1,Baik
144,100,468,456,159,Berbahaya
119,201,211,152,228,Sangat_Tidak_Sehat
141,345,301,466,134,Berbahaya
8,86,120,28,30,Tidak_Sehat
98,30,13,96,72,Sedang
11,37,50,35,46,Baik
93,36,45,52,87,Sedang
276,280,92,38,158,Sangat_Tidak_Sehat
41,226,60,40,184,Sangat_Tidak_Sehat
207,479,444,352,393,Berbahaya
61,64,12,34,42,Sedang
2,24,33,11,41,Baik
2,385,260,390,19,Berbahaya
297,110,131,112,88,Sangat_Tidak_Sehat
179,185,168,171,198,Tidak_Sehat
315,354,46,193,455,Berbahaya
19,28,50,3,6,Baik
19,91,107,109,100,Tidak_Sehat
134,45,8,168,32,Tidak_Sehat
347,295,178,412,426,Berbahaya
16,0,24,42,39,Baik
43,42,16,39,78,Sedang
11,50,36,16,22,Baik
1,13,12,28,11,Baik
263,53,134,500,358,Berbahaya
26,28,14,45,126,Tidak_Sehat
16,302,61,481,42,Berbahaya
322,441,448,35,472,Berbahaya
309,275,260,220,218,Berbahaya
72,72,13,14,32,Sedang
40,28,14,44,0,Baik
25,79,90,73,63,Sedang
217,252,71,128,258,Sangat_Tidak_Sehat
145,192,77,55,79,Tidak_Sehat
22,9,43,1,12,Baik
28,53,15,35,60,Sedang
30,10,9,2,13,Baik
44,101,47,325,80,Berbahaya
113,158,160,128,186,Tidak_Sehat
268,200,134,22,86,Sangat_Tidak_Sehat
255,238,8,11,138,Sangat_Tidak_Sehat
188,50,18,119,67,Tidak_Sehat
197,78,339,38,307,Berbahaya
33,250,125,267,179,Sangat_Tidak_Sehat
50,105,106,81,52,Tidak_Sehat
34,18,49,7,25,Baik
151,127,118,57,124,Tidak_Sehat
37,84,23,125,123,Tidak_Sehat
302,205,317,338,258,Berbahaya
1,57,18,101,77,Tidak_Sehat
26,39,1,12,31,Baik
40,36,5,25,33,Baik
336,301,358,47,275,Berbahaya
231,163,246,137,161,Sangat_Tidak_Sehat
124,46,120,142,43,Tidak_Sehat
216,125,45,205,120,Sangat_Tidak_Sehat
65,23,8,46,32,Sedang
24,77,31,17,36,Sedang
51,10,54,42,31,Sedang
58,12,58,49,4,Sedang
54,94,1,24,12,Sedang
52,84,16,45,119,Tidak_Sehat
138,165,117,206,66,Sangat_Tidak_Sehat
28,30,46,15,41,Baik
29,74,12,61,46,Sedang
241,228,322,148,272,Berbahaya
95,43,79,228,137,Sangat_Tidak_Sehat
11,1,6,15,2,Baik
193,269,365,259,483,Berbahaya
279,135,109,90,189,Sangat_Tidak_Sehat
482,471,213,422,119,Berbahaya
32,75,202,137,80,Sangat_Tidak_Sehat
163,171,118,164,112,Tidak_Sehat
149,69,32,461,343,Berbahaya
144,159,153,120,251,Sangat_Tidak_Sehat
4,18,41,17,118,Tidak_Sehat
210,118,34,42,232,Sangat_Tidak_Sehat
239,225,185,47,269,Sangat_Tidak_Sehat
144,47,224,213,197,Sangat_Tidak_Sehat
27,36,6,3,36,Baik
239,106,179,15,290,Sangat_Tidak_Sehat
92,440,297,16,110,Berbahaya
140,157,97,166,87,Tidak_Sehat
151,188,163,125,311,Berbahaya
26,17,3,0,49,Baik
101,121,43,125,8,Tidak_Sehat
32,19,48,11,46,Baik
265,114,197,142,227,Sangat_Tidak_Sehat
278,220,45,72,302,Berbahaya
45,13,35,11,16,Baik
48,57,32,36,47,Sedang
39,106,23,107,156,Tidak_Sehat
77,171,32,178,43,Tidak_Sehat
80,274,66,101,90,Sangat_Tidak_Sehat
141,37,190,135,20,Tidak_Sehat
116,172,3,246,222,Sangat_Tidak_Sehat
499,67,125,42,181,Berbahaya
9,24,172,224,356,Berbahaya
50,14,24,36,27,Baik
205,218,194,304,353,Berbahaya
13,85,50,22,47,Sedang
76,66,28,33,40,Sedang
49,37,26,33,14,Baik
3,140,343,253,152,Berbahaya
110,218,208,267,178,Sangat_Tidak_Sehat
108,180,300,202,169,Sangat_Tidak_Sehat
36,486,261,236,306,Berbahaya
15,3,34,47,25,Baik
99,95,52,2,65,Sedang
21,45,29,37,37,Baik
417,326,390,435,117,Berbahaya
24,0,51,41,41,Sedang
22,23,44,18,4,Baik
95,101,118,61,45,Tidak_Sehat
31,47,24,39,44,Baik
246,77,310,139,252,Berbahaya
295,34,102,160,199,Sangat_Tidak_Sehat
18,38,2,44,12,Baik
180,131,150,154,315,Berbahaya
6,109,113,135,45,Tidak_Sehat
299,175,398,371,74,Berbahaya
460,288,204,325,304,Berbahaya
6,39,38,61,87,Sedang
63,79,6,54,61,Sedang
32,89,47,64,37,Sedang
28,78,2,9,58,Sedang
102,14,125,34,48,Tidak_Sehat
40,24,47,12,8,Baik
140,30,115,166,180,Tidak_Sehat
211,148,245,221,216,Sangat_Tidak_Sehat
116,148,268,188,431,Berbahaya
12,17,1,28,20,Baik
88,188,189,263,25,Sangat_Tidak_Sehat
49,2,12,42,48,Baik
24,49,28,38,30,Baik
74,15,58,53,15,Sedang
59,112,128,57,137,Tidak_Sehat
340,34,46,152,237,Berbahaya
110,72,27,23,18,Tidak_Sehat
23,17,48,60,6,Sedang
84,78,47,24,35,Sedang
133,23,44,178,265,Sangat_Tidak_Sehat
52,21,22,29,4,Sedang
204,142,187,228,5,Sangat_Tidak_Sehat
332,157,426,324,269,Berbahaya
27,7,27,35,25,Baik
57,56,67,51,60,Sedang
37,144,114,86,122,Tidak_Sehat
86,106,26,120,84,Tidak_Sehat
34,53,20,30,51,Sedang
21,48,41,5,14,Baik
49,17,16,25,7,Baik
42,59,21,21,21,Sedang
132,77,52,147,22,Tidak_Sehat
61,19,265,202,194,Sangat_Tidak_Sehat
271,212,132,156,282,Sangat_Tidak_Sehat
57,57,9,30,5,Sedang
91,111,231,166,59,Sangat_Tidak_Sehat
95,277,142,165,0,Sangat_Tidak_Sehat
3,35,17,14,50,Baik
37,12,30,46,35,Baik
118,120,311,353,342,Berbahaya
163,196,96,0,226,Sangat_Tidak_Sehat
44,96,32,134,237,Sangat_Tidak_Sehat
6,48,72,40,93,Sedang
164,16,72,159,69,Tidak_Sehat
27,22,13,23,1,Baik
471,486,235,272,378,Berbahaya
374,318,260,390,328,Berbahaya
14,35,31,31,3,Baik
15,53,75,0,41,Sedang
486,12,436,99,448,Berbahaya
38,98,120,113,112,Tidak_Sehat
99,264,237,237,460,Berbahaya
0,286,447,246,387,Berbahaya
138,0,4,62,64,Tidak_Sehat
31,47,251,198,286,Sangat_Tidak_Sehat
6,12,125,135,68,Tidak_Sehat
68,6,7,63,6,Sedang
320,446,139,373,424,Berbahaya
35,167,29,281,397,Berbahaya
20,15,11,1,40,Baik
228,162,7,90,149,Sangat_Tidak_Sehat
228,33,82,432,131,Berbahaya
119,108,71,102,12,Tidak_Sehat
148,342,455,444,51,Berbahaya
354,341,160,305,277,Berbahaya
6,6,121,102,117,Tidak_Sehat
187,87,67,171,100,Tidak_Sehat
262,206,152,180,211,Sangat_Tidak_Sehat
51,71,10,3,47,Sedang
195,162,39,253,275,Sangat_Tidak_Sehat
201,105,88,126,45,Sangat_Tidak_Sehat
70,85,50,114,92,Tidak_Sehat
101,181,29,121,148,Tidak_Sehat
50,36,21,28,13,Baik
63,245,385,33,311,Berbahaya
90,124,75,149,249,Sangat_Tidak_Sehat
192,84,242,172,421,Berbahaya
449,113,486,463,28,Berbahaya
185,230,140,311,252,Berbahaya
14,46,21,13,25,Baik
103,299,234,306,398,Berbahaya
81,93,89,71,69,Sedang
51,45,86,21,52,Sedang
133,65,121,131,162,Tidak_Sehat
133,404,370,32,236,Berbahaya
105,98,167,439,86,Berbahaya
95,1,14,22,28,Sedang
9,9,38,27,91,Sedang
91,69,449,443,419,Berbahaya
77,133,158,85,33,Tidak_Sehat
167,25,37,255,214,Sangat_Tidak_Sehat
107,181,146,251,35,Sangat_Tidak_Sehat
202,135,235,177,176,Sangat_Tidak_Sehat
3,0,48,39,31,Baik
95,78,70,14,45,Sedang
100,35,84,48,69,Sedang
31,25,15,93,53,Sedang
27,63,83,77,18,Sedang
39,176,46,64,145,Tidak_Sehat
55,173,174,100,182,Tidak_Sehat
81,45,30,31,31,Sedang
34,59,23,18,35,Sedang
12,36,51,0,51,Sedang
181,184,48,31,60,Tidak_Sehat
40,35,26,16,8,Baik
54,7,58,127,161,Tidak_Sehat
236,484,322,303,341,Berbahaya
51,21,4,3,55,Sedang
79,58,68,91,91,Sedang
121,135,21,105,153,Tidak_Sehat
168,58,44,40,168,Tidak_Sehat
36,30,73,164,106,Tidak_Sehat
117,106,54,152,12,Tidak_Sehat
4,156,51,316,150,Berbahaya
274,16,140,244,86,Sangat_Tidak_Sehat
12,44,41,62,24,Sedang
31,38,48,31,3,Baik
50,35,16,40,23,Baik
66,29,44,50,67,Sedang
67,66,0,26,39,Sedang
65,37,7,61,46,Sedang
41,24,38,34,2,Baik
87,251,311,30,60,Berbahaya
52,139,15,103,69,Tidak_Sehat
85,103,277,204,128,Sangat_Tidak_Sehat
48,25,26,36,3,Baik
20,5,5,47,3,Baik
37,44,176,128,31,Tidak_Sehat
183,208,196,11,165,Sangat_Tidak_Sehat
181,46,2,253,142,Sangat_Tidak_Sehat
46,19,18,34,42,Baik
158,208,204,112,269,Sangat_Tidak_Sehat
105,2,2,141,106,Tidak_Sehat
26,54,53,20,68,Sedang
40,12,17,36,12,Baik
219,240,217,79,216,Sangat_Tidak_Sehat
160,132,6,50,64,Tidak_Sehat
50,1,14,10,7,Baik
65,9,201,295,213,Sangat_Tidak_Sehat
28,8,37,49,5,Baik
28,32,9,49,39,Baik
138,210,86,161,214,Sangat_Tidak_Sehat
242,291,281,349,316,Berbahaya
18,43,10,1,46,Baik
46,22,15,30,10,Baik
69,311,53,356,350,Berbahaya
16,12,83,96,152,Tidak_Sehat
26,127,105,172,70,Tidak_Sehat
376,274,196,375,218,Berbahaya
31,23,13,31,45,Baik
12,136,212,172,197,Sangat_Tidak_Sehat
254,369,202,361,247,Berbahaya
13,13,1,36,4,Baik
16,49,50,16,13,Baik
40,44,14,2,52,Sedang
26,1,34,17,13,Baik
9,25,47,220,113,Sangat_Tidak_Sehat
8,25,46,21,46,Baik
137,151,103,154,115,Tidak_Sehat
93,119,74,245,245,Sangat_Tidak_Sehat
1,18,19,83,16,Sedang
48,49,29,37,50,Baik
16,18,50,69,76,Sedang
208,133,396,85,426,Berbahaya
120,58,68,86,32,Tidak_Sehat
79,102,269,264,32,Sangat_Tidak_Sehat
42,43,28,12,11,Baik
149,78,128,65,63,Tidak_Sehat
8,16,8,10,14,Baik
50,18,41,34,45,Baik
56,72,40,33,31,Sedang
136,25,2,99,250,Sangat_Tidak_Sehat
122,155,24,130,68,Tidak_Sehat
10,32,23,22,14,Baik
387,300,55,159,148,Berbahaya
47,4,40,25,27,Baik
135,356,194,417,277,Berbahaya
39,16,36,38,28,Baik
232,199,49,198,115,Sangat_Tidak_Sehat
56,30,11,57,4,Sedang
25,43,24,16,12,Baik
53,116,11,19,81,Tidak_Sehat
16,11,45,31,14,Baik
251,261,261,30,266,Sangat_Tidak_Sehat
107,34,369,43,142,Berbahaya
440,143,282,355,400,Berbahaya
171,91,9,85,101,Tidak_Sehat
48,5,68,6,106,Tidak_Sehat
337,12,315,105,125,Berbahaya
48,16,33,5,45,Baik
45,21,40,15,28,Baik
9,4,45,25,53,Sedang
377,176,273,178,497,Berbahaya
134,217,87,271,239,Sangat_Tidak_Sehat
100,92,44,7,103,Tidak_Sehat
80,15,32,1,13,Sedang
18,7,30,20,16,Baik
29,228,83,149,288,Sangat_Tidak_Sehat
163,411,208,12,408,Berbahaya
34,22,16,25,7,Baik
1,29,46,38,3,Baik
101,52,30,17,11,Tidak_Sehat
279,137,163,74,232,Sangat_Tidak_Sehat
55,5,55,50,12,Sedang
233,121,148,83,192,Sangat_Tidak_Sehat
56,350,379,362,334,Berbahaya
49,2,42,70,49,Sedang
247,264,0,40,172,Sangat_Tidak_Sehat
241,5,196,97,202,Sangat_Tidak_Sehat
54,203,35,5,120,Sangat_Tidak_Sehat
201,432,375,52,354,Berbahaya
31,21,90,39,37,Sedang
38,53,34,67,60,Sedang
5,20,95,95,47,Sedang
361,398,266,163,416,Berbahaya
117,367,105,104,468,Berbahaya
283,301,245,359,194,Berbahaya
224,113,277,16,348,Berbahaya
77,239,257,292,130,Sangat_Tidak_Sehat
78,40,29,56,48,Sedang
42,46,98,13,103,Tidak_Sehat
194,269,18,284,97,Sangat_Tidak_Sehat
405,190,177,344,238,Berbahaya
12,112,102,97,5,Tidak_Sehat
38,52,77,86,0,Sedang
43,31,5,35,37,Baik
67,91,263,150,46,Sangat_Tidak_Sehat
58,30,36,44,56,Sedang
8,50,96,142,141,Tidak_Sehat
21,40,16,25,43,Baik
10,199,220,201,245,Sangat_Tidak_Sehat
2,14,236,224,209,Sangat_Tidak_Sehat
27,29,28,45,5,Baik
74,28,94,94,88,Sedang
69,32,12,61,42,Sedang
200,424,285,220,406,Berbahaya
292,427,221,76,337,Berbahaya
458,67,6,469,198,Berbahaya
330,470,167,338,235,Berbahaya
0,234,21,207,188,Sangat_Tidak_Sehat
117,148,111,109,5,Tidak_Sehat
88,300,41,294,80,Sangat_Tidak_Sehat
128,26,6,68,93,Tidak_Sehat
23,41,7,23,15,Baik
234,154,59,32,280,Sangat_Tidak_Sehat
323,261,5,247,228,Berbahaya
253,247,334,288,122,Berbahaya
21,31,15,52,4,Sedang
30,289,300,265,184,Sangat_Tidak_Sehat
18,30,25,72,40,Sedang
108,479,425,290,374,Berbahaya
55,29,21,102,80,Tidak_Sehat
257,253,33,237,178,Sangat_Tidak_Sehat
37,30,35,18,47,Baik
77,21,33,48,0,Sedang
275,33,110,236,31,Sangat_Tidak_Sehat
83,60,87,70,69,Sedang
26,31,77,93,27,Sedang
8,165,117,64,130,Tidak_Sehat
245,149,154,182,66,Sangat_Tidak_Sehat
39,8,4,31,19,Baik
87,104,28,97,20,Tidak_Sehat
66,37,66,60,88,Sedang
47,6,93,68,10,Sedang
4,12,16,49,39,Baik
45,51,18,76,97,Sedang
59,118,0,13,7,Tidak_Sehat
58,295,63,255,47,Sangat_Tidak_Sehat
61,17,45,82,26,Sedang
51,115,64,129,271,Sangat_Tidak_Sehat
92,34,310,127,322,Berbahaya
449,85,191,326,430,Berbahaya
267,58,271,271,13,Sangat_Tidak_Sehat
59,58,78,18,27,Sedang
245,18,134,235,185,Sangat_Tidak_Sehat
28,48,28,43,15,Baik
99,45,281,239,258,Sangat_Tidak_Sehat
219,5,238,273,227,Sangat_Tidak_Sehat
148,193,123,47,61,Tidak_Sehat
81,13,217,206,203,Sangat_Tidak_Sehat
72,76,54,90,88,Sedang
14,77,75,52,43,Sedang
45,98,76,51,9,Sedang
216,43,92,206,29,Sangat_Tidak_Sehat
190,244,206,148,215,Sangat_Tidak_Sehat
38,201,0,74,87,Sangat_Tidak_Sehat
75,5,17,9,10,Sedang
19,49,13,1,8,Baik
77,22,125,163,12,Tidak_Sehat
37,19,22,44,15,Baik
41,42,81,73,48,Sedang
185,116,185,273,365,Berbahaya
30,46,160,1,105,Tidak_Sehat
3,28,17,25,43,Baik
230,278,270,45,27,Sangat_Tidak_Sehat
17,48,18,42,34,Baik
25,12,39,17,24,Baik
468,331,114,267,11,Berbahaya
15,39,27,32,47,Baik
242,417,171,364,429,Berbahaya
81,74,87,1,75,Sedang
75,164,131,171,121,Tidak_Sehat
411,86,12,262,287,Berbahaya
180,142,243,55,104,Sangat_Tidak_Sehat
6,174,110,51,23,Tidak_Sehat
390,284,289,262,495,Berbahaya
402,279,296,464,224,Berbahaya
37,116,237,483,401,Berbahaya
188,138,274,32,111,Sangat_Tidak_Sehat
41,35,19,3,6,Baik
15,15,42,35,12,Baik
29,20,59,36,31,Sedang
357,94,218,169,282,Berbahaya
310,71,477,440,28,Berbahaya
112,151,100,2,78,Tidak_Sehat
312,193,139,26,427,Berbahaya
18,3,25,37,41,Baik
116,104,14,59,127,Tidak_Sehat
132,147,77,108,184,Tidak_Sehat
6,25,37,69,65,Sedang
15,46,58,30,79,Sedang
8,15,55,75,77,Sedang
17,51,15,14,56,Sedang
222,41,3,258,103,Sangat_Tidak_Sehat
40,62,34,32,56,Sedang
456,393,87,208,179,Berbahaya
37,44,40,46,13,Baik
54,52,49,71,118,Tidak_Sehat
281,136,210,145,83,Sangat_Tidak_Sehat
158,15,40,181,110,Tidak_Sehat
138,142,49,27,143,Tidak_Sehat
282,65,58,158,270,Sangat_Tidak_Sehat
181,165,16,149,224,Sangat_Tidak_Sehat
134,64,54,73,116,Tidak_Sehat
181,213,121,20,0,Sangat_Tidak_Sehat
75,144,142,165,79,Tidak_Sehat
77,56,7,95,26,Sedang
31,100,2,85,85,Sedang
35,53,24,54,8,Sedang
153,77,139,89,412,Berbahaya
207,59,239,95,269,Sangat_Tidak_Sehat
1,9,29,49,44,Baik
115,14,116,80,2,Tidak_Sehat
62,64,62,64,31,Sedang
23,33,29,17,18,Baik
41,25,43,13,36,Baik
0,57,31,8,28,Sedang
484,412,468,385,261,Berbahaya
7,43,39,61,21,Sedang
76,366,304,138,34,Berbahaya
299,54,335,460,368,Berbahaya
252,425,79,123,312,Berbahaya
328,327,109,285,220,Berbahaya
33,29,12,12,17,Baik
75,177,118,36,133,Tidak_Sehat
150,20,111,137,153,Tidak_Sehat
148,72,104,117,33,Tidak_Sehat
19,47,46,26,14,Baik
64,34,20,57,17,Sedang
96,160,89,43,173,Tidak_Sehat
264,125,274,27,358,Berbahaya
281,111,99,214,112,Sangat_Tidak_Sehat
24,47,31,54,49,Sedang
392,471,395,154,228,Berbahaya
236,269,420,290,8,Berbahaya
29,43,33,31,2,Baik
29,15,11,16,15,Baik
98,165,68,221,49,Sangat_Tidak_Sehat
29,36,22,38,44,Baik
30,19,53,130,14,Tidak_Sehat
38,53,54,25,26,Sedang
40,38,1,28,40,Baik
2,45,54,97,87,Sedang
187,17,241,188,48,Sangat_Tidak_Sehat
211,143,97,251,217,Sangat_Tidak_Sehat
125,140,16,49,121,Tidak_Sehat
7,27,4,16,36,Baik
186,1,189,114,208,Sangat_Tidak_Sehat
60,126,103,122,66,Tidak_Sehat
7,38,39,13,31,Baik
37,0,19,27,15,Baik
93,184,132,177,84,Tidak_Sehat
232,109,332,193,6,Berbahaya
45,49,14,33,41,Baik
16,47,46,22,14,Baik
33,7,20,33,3,Baik
107,54,77,100,55,Tidak_Sehat
167,61,0,16,15,Tidak_Sehat
50,87,115,109,115,Tidak_Sehat
16,6,3,28,13,Baik
23,121,124,10,12,Tidak_Sehat
12,21,55,30,56,Sedang
200,19,36,248,129,Sangat_Tidak_Sehat
44,51,36,57,2,Sedang
7,235,177,241,407,Berbahaya
232,171,220,186,247,Sangat_Tidak_Sehat
35,84,154,261,34,Sangat_Tidak_Sehat
57,33,41,18,57,Sedang
50,82,54,92,76,Sedang
245,209,41,132,26,Sangat_Tidak_Sehat
8,40,0,1,47,Baik
7,203,46,168,63,Sangat_Tidak_Sehat
497,216,263,417,486,Berbahaya
17,113,111,64,99,Tidak_Sehat
52,58,37,97,86,Sedang
110,25,67,101,23,Tidak_Sehat
72,49,80,94,99,Sedang
62,302,36,15,253,Berbahaya
16,33,261,207,161,Sangat_Tidak_Sehat
80,7,56,72,19,Sedang
237,359,82,156,108,Berbahaya
181,85,97,61,7,Tidak_Sehat
282,419,46,348,157,Berbahaya
1,1,59,23,60,Sedang
84,55,94,86,69,Sedang
33,2,36,42,39,Baik
90,34,94,14,95,Sedang
93,67,86,20,236,Sangat_Tidak_Sehat
92,259,280,342,124,Berbahaya
161,129,291,82,123,Sangat_Tidak_Sehat
37,196,103,31,153,Tidak_Sehat
41,57,81,29,90,Sedang
86,74,94,53,87,Sedang
17,48,27,46,10,Baik
25,37,37,51,21,Sedang
43,114,85,115,105,Tidak_Sehat
32,44,82,19,17,Sedang
12,17,32,15,44,Baik
21,32,16,23,33,Baik
35,36,27,27,41,Baik
96,155,206,165,157,Sangat_Tidak_Sehat
52,54,36,55,95,Sedang
27,56,30,60,2,Sedang
262,169,9,171,422,Berbahaya
88,201,196,457,453,Berbahaya
99,443,405,218,270,Berbahaya
195,321,417,106,489,Berbahaya
9,42,14,71,20,Sedang
63,211,60,217,204,Sangat_Tidak_Sehat
115,82,38,5,82,Tidak_Sehat
12,50,75,33,34,Sedang
209,98,407,318,269,Berbahaya
48,16,42,24,51,Sedang
89,75,93,88,71,Sedang
368,261,230,190,376,Berbahaya
9,70,47,32,60,Sedang
60,82,30,80,72,Sedang
50,1,17,43,53,Sedang
30,37,10,34,7,Baik
99,94,17,43,105,Tidak_Sehat
24,9,14,21,50,Baik
49,34,223,328,190,Berbahaya
405,252,117,29,110,Berbahaya
61,44,51,27,9,Sedang
386,185,60,261,413,Berbahaya
85,80,31,73,42,Sedang
147,98,100,170,139,Tidak_Sehat
73,80,173,127,69,Tidak_Sehat
150,54,4,34,424,Berbahaya
48,13,85,80,24,Sedang
26,50,33,37,32,Baik
53,25,17,8,53,Sedang
358,328,44,302,332,Berbahaya
36,2,66,46,12,Sedang
414,25,236,309,171,Berbahaya
32,5,49,9,4,Baik
46,73,50,252,251,Sangat_Tidak_Sehat
129,273,164,67,13,Sangat_Tidak_Sehat
38,5,8,19,0,Baik
69,150,112,29,187,Tidak_Sehat
64,70,6,79,139,Tidak_Sehat
187,53,184,19,112,Tidak_Sehat
23,48,61,50,1,Sedang
5,37,65,50,52,Sedang
171,126,57,225,220,Sangat_Tidak_Sehat
104,67,99,44,79,Tidak_Sehat
20,39,38,20,9,Baik
91,149,233,264,184,Sangat_Tidak_Sehat
281,287,73,46,75,Sangat_Tidak_Sehat
31,7,9,37,46,Baik
45,22,11,92,115,Tidak_Sehat
383,451,325,94,133,Berbahaya
76,41,46,36,90,Sedang
11,10,36,24,17,Baik
0,268,285,196,291,Sangat_Tidak_Sehat
76,34,40,76,78,Sedang
29,89,94,128,126,Tidak_Sehat
40,29,12,20,18,Baik
176,282,271,276,137,Sangat_Tidak_Sehat
23,72,12,1,83,Sedang
36,35,23,30,5,Baik
22,36,10,5,17,Baik
71,61,37,14,51,Sedang
3,43,55,41,136,Tidak_Sehat
10,66,86,6,98,Sedang
40,5,74,37,100,Sedang
39,38,48,22,46,Baik
134,349,168,391,121,Berbahaya
5,18,26,0,83,Sedang
10,33,23,14,37,Baik
257,0,376,440,288,Berbahaya
58,88,23,79,141,Tidak_Sehat
69,30,246,136,117,Sangat_Tidak_Sehat
21,76,91,112,85,Tidak_Sehat
213,221,120,133,49,Sangat_Tidak_Sehat
80,32,73,11,26,Sedang
16,42,43,50,23,Baik
61,63,44,100,57,Sedang
46,37,69,79,52,Sedang
427,405,305,133,404,Berbahaya
57,15,46,43,76,Sedang
114,91,241,199,426,Berbahaya
18,19,31,6,40,Baik
122,135,196,179,243,Sangat_Tidak_Sehat
209,308,181,250,137,Berbahaya
94,118,439,119,385,Berbahaya
10,76,11,131,98,Tidak_Sehat
86,136,129,181,50,Tidak_Sehat
51,81,133,141,65,Tidak_Sehat
1,61,48,80,30,Sedang
1,16,66,12,12,Sedang
13,19,17,28,5,Baik
62,21,69,20,87,Sedang
8,80,76,77,59,Sedang
28,143,9,314,259,Berbahaya
14,25,41,12,50,Baik
0,28,44,48,34,Baik
393,370,446,78,270,Berbahaya
60,197,275,409,271,Berbahaya
257,258,183,282,159,Sangat_Tidak_Sehat
39,66,24,91,83,Sedang
41,156,144,29,186,Tidak_Sehat
34,36,4,0,39,Baik
51,192,27,35,115,Tidak_Sehat
50,20,34,11,25,Baik
182,492,372,264,131,Berbahaya
25,70,36,463,132,Berbahaya
409,199,270,50,197,Berbahaya
139,81,188,318,233,Berbahaya
160,59,92,82,191,Tidak_Sehat
202,443,131,266,133,Berbahaya
28,78,34,5,78,Sedang
24,28,6,48,2,Baik
252,170,256,56,291,Sangat_Tidak_Sehat
179,22,36,106,296,Sangat_Tidak_Sehat
94,40,132,44,12,Tidak_Sehat
31,38,44,45,35,Baik
60,292,11,215,76,Sangat_Tidak_Sehat
28,31,49,50,18,Baik
75,4,85,76,56,Sedang
99,13,117,70,58,Tidak_Sehat
47,7,49,22,28,Baik
146,181,81,218,81,Sangat_Tidak_Sehat
32,22,17,29,78,Sedang
38,67,54,44,67,Sedang
26,150,24,51,20,Tidak_Sehat
83,2,51,27,69,Sedang
27,52,51,54,52,Sedang
57,92,92,101,43,Tidak_Sehat
237,166,139,138,339,Berbahaya
61,16,31,3,3,Sedang
13,47,102,191,11,Tidak_Sehat
16,48,1,1,27,Baik
63,131,86,151,62,Tidak_Sehat
40,52,30,43,46,Sedang
342,408,426,279,222,Berbahaya
82,47,41,26,73,Sedang
11,61,17,70,24,Sedang
27,1,211,67,291,Sangat_Tidak_Sehat
46,6,10,19,15,Baik
12,23,442,33,246,Berbahaya
58,99,67,70,86,Sedang
38,87,87,11,33,Sedang
23,34,29,29,46,Baik
5,28,73,54,45,Sedang
123,51,9,45,27,Tidak_Sehat
68,30,90,146,126,Tidak_Sehat
89,135,150,17,94,Tidak_Sehat
125,15,174,156,115,Tidak_Sehat
8,9,25,40,34,Baik
412,168,311,79,13,Berbahaya
15,61,24,39,10,Sedang
86,29,24,27,97,Sedang
138,340,247,240,105,Berbahaya
32,49,3,41,6,Baik
152,66,17,59,73,Tidak_Sehat
65,29,83,59,81,Sedang
75,40,54,60,48,Sedang
76,1,248,50,188,Sangat_Tidak_Sehat
74,37,71,64,53,Sedang
10,54,1,101,94,Tidak_Sehat
61,32,25,1,60,Sedang
43,116,37,142,123,Tidak_Sehat
272,60,17,241,57,Sangat_Tidak_Sehat
